,id,date,state,sentiment
120,1255518070761836548,2020-04-29,WB,-1
121,1255519340641779714,2020-04-29,MH,-1
122,1255519606107787265,2020-04-29,GJ,-1
123,1255520346763075597,2020-04-29,GJ,-1
124,1255538890598998016,2020-04-29,GJ,-1
125,1255544191985152005,2020-04-29,KA,-1
126,1255553407340994568,2020-04-29,DL,-1
127,1255561540461375490,2020-04-29,MH,-1
128,1255563964370518017,2020-04-29,HR,-1
129,1255583472044949511,2020-04-29,AP,-1
130,1255591272561205256,2020-04-29,GJ,-1
131,1255592989310713856,2020-04-29,TN,-1
132,1255625425654435842,2020-04-29,MP,-1
133,1255648466832896006,2020-04-30,KA,-1
134,1255670221760692227,2020-04-30,DL,-1
135,1255677706022334469,2020-04-30,MH,-1
136,1255679480472973318,2020-04-30,DL,-1
137,1255685188643774464,2020-04-30,DL,-1
138,1255686760098488321,2020-04-30,MH,-1
139,1255695948099006470,2020-04-30,MP,-1
140,1255699115809345537,2020-04-30,MP,-1
141,1255699532513447942,2020-04-30,KL,-1
142,1255710456276226048,2020-04-30,UP,-1
143,1255714250217013251,2020-04-30,KA,-1
144,1255717668037857280,2020-04-30,UP,-1
145,1255717998473740288,2020-04-30,UP,-1
146,1255718632690192389,2020-04-30,UT,-1
147,1255735000676421632,2020-04-30,DL,-1
148,1255746522576281605,2020-04-30,GJ,-1
149,1255759870600642561,2020-04-30,MH,-1
150,1255760779241979904,2020-04-30,DL,-1
151,1255761315546701824,2020-04-30,UP,-1
152,1255762289539465218,2020-04-30,TN,1
153,1255762964516352000,2020-04-30,GJ,-1
154,1255763948281958400,2020-04-30,TG,-1
155,1255769081451630592,2020-04-30,MH,-1
156,1255772918300229632,2020-04-30,WB,-1
157,1255778016988454912,2020-04-30,UP,-1
158,1255781899483729920,2020-04-30,TN,-1
159,1255784483443310593,2020-04-30,AS,-1
160,1255786753774010368,2020-04-30,KA,-1
161,1255788435639463936,2020-04-30,KA,-1
162,1255793336947884032,2020-04-30,KA,-1
163,1255793956320956416,2020-04-30,KA,-1
164,1255794323125395457,2020-04-30,KA,-1
165,1255794411054804992,2020-04-30,KA,-1
166,1255794742929043456,2020-04-30,UP,-1
167,1255798630818054145,2020-04-30,MH,-1
168,1255800305024974848,2020-04-30,DL,-1
169,1255801108355624961,2020-04-30,GJ,-1
170,1255810375729188865,2020-04-30,WB,-1
171,1255810821478899713,2020-04-30,DL,1
172,1255818721085579264,2020-04-30,JH,-1
173,1255821697355259904,2020-04-30,BR,-1
174,1255822663014060032,2020-04-30,HR,-1
175,1255822789816332288,2020-04-30,MP,1
176,1255827263657881601,2020-04-30,UP,-1
177,1255832780577046535,2020-04-30,KL,-1
178,1255835495361327105,2020-04-30,GJ,-1
179,1255837105093136387,2020-04-30,MH,-1
180,1255840129471655937,2020-04-30,MH,-1
181,1255845682407182336,2020-04-30,OR,-1
182,1255846067704340480,2020-04-30,GJ,-1
183,1255848510852943872,2020-04-30,GJ,-1
184,1255848691669360641,2020-04-30,RJ,-1
185,1255850497115815936,2020-04-30,GJ,-1
186,1255852314486865920,2020-04-30,TN,-1
187,1255859344714891264,2020-04-30,MP,-1
