ID,Date,State,Sentiment
1254996123514789893,Apr28,TG,0
1255008728711000065,Apr28,MH,0.128125
1255012413948203008,Apr28,TG,0.5
1255013914850594816,Apr28,UP,0
1255018116473516034,Apr28,MH,0.3472222222222222
1255018663322812416,Apr28,UP,0
1255019399850987520,Apr28,DL,0
1255019724737589250,Apr28,HR,0
1255021620214857728,Apr28,TN,0
1255023204327981057,Apr28,MH,0.13636363636363635
1255023268601290752,Apr28,GJ,0.8
1255023582285107200,Apr28,GJ,0
1255027099573903360,Apr28,DL,0
1255027351454248962,Apr28,RJ,-0.25
1255027893727563777,Apr28,RJ,-0.15
1255029239327477761,Apr28,KA,0
1255032926405750785,Apr28,TG,0
1255033468821680129,Apr28,HR,0.5
1255041909485113346,Apr28,BR,0.14727272727272728
1255041954242592770,Apr28,RJ,0.1431818181818182
1255042671166529541,Apr28,TN,-0.25
1255047104034230274,Apr28,MH,0
1255048120930496512,Apr28,KA,0
1255049415871672322,Apr28,KA,0.25
1255051889869090824,Apr28,MH,-0.14583333333333331
1255053077717094400,Apr28,BR,0.18333333333333335
1255055115725213696,Apr28,UP,0.3181818181818182
1255056771363803137,Apr28,MH,0
1255057804781670401,Apr28,GJ,-0.1
1255062300018556929,Apr28,BR,0.36250000000000004
1255076049425072128,Apr28,GJ,0.25
1255086209644331008,Apr28,UP,0.0088095238095238
1255096643151630336,Apr28,TG,0.13636363636363635
1255105619117424644,Apr28,UP,0
1255107230531072000,Apr28,DL,0.3125
1255110017453359104,Apr28,HR,0.35833333333333334
1255117336849326081,Apr28,DL,0.3
1255119238085386240,Apr28,MH,0
1255123486101565440,Apr28,DL,-0.27777777777777773
1255126401667260416,Apr28,MP,0.235
1255139250103742470,Apr28,DL,-0.08333333333333333
1255139898757005312,Apr28,GJ,0.19999999999999998
1255140128604844036,Apr28,JH,0
1255141358580273154,Apr28,GJ,0.10681818181818184
1255149294924906497,Apr28,GA,0.06818181818181818
1255150920658071565,Apr28,MH,0.16666666666666666
1255156104931217415,Apr28,DL,0
1255158156570886144,Apr28,UP,0.24242424242424243
1255164921173676032,Apr28,MH,0.15340909090909088
1255167475857199104,Apr28,BR,-0.10000000000000002
1255177852292644868,Apr28,MH,0.3666666666666667
1255184647891365889,Apr28,OR,0
1255185569874919425,Apr28,GJ,0.25
1255188867407384576,Apr28,OR,-0.2
1255197984649871361,Apr28,HR,-0.202587890625
1255205967538589696,Apr28,MP,-0.05
1255205988937891842,Apr28,RJ,-0.128125
1255207636225667072,Apr28,GJ,0
1255207745021718534,Apr28,GJ,-0.22747395833333334
1255207956133613571,Apr28,OR,0
1255213356983693313,Apr28,UP,0
1255233666441261058,Apr28,MH,0.095
1255238632534917124,Apr28,KL,0
